iter	Passed	Remaining
0	313	156547
1	426	106131
2	540	89460
3	654	81151
4	764	75681
5	876	72152
6	987	69516
7	1099	67598
8	1209	66008
9	1322	64817
10	1436	63879
11	1553	63166
12	1667	62471
13	1792	62215
14	1903	61531
15	2017	61019
16	2130	60539
17	2244	60098
18	2358	59712
19	2470	59292
20	2583	58924
21	2695	58556
22	2807	58225
23	2931	58147
24	3051	57975
25	3165	57715
26	3277	57411
27	3389	57141
28	3508	56985
29	3635	56954
30	3747	56692
31	3861	56476
32	3998	56579
33	4112	56362
34	4232	56233
35	4366	56273
36	4482	56093
37	4601	55939
38	4748	56129
39	4877	56094
40	4999	55966
41	5117	55800
42	5233	55622
43	5348	55431
44	5466	55269
45	5590	55171
46	5788	55791
47	5978	56295
48	6115	56286
49	6246	56215
50	6374	56117
51	6495	55961
52	6608	55735
53	6737	55647
54	6859	55497
55	6979	55337
56	7094	55138
57	7210	54949
58	7319	54710
59	7424	54447
60	7524	54154
61	7623	53856
62	7722	53564
63	7828	53332
64	7930	53071
65	8029	52800
66	8128	52530
67	8229	52280
68	8331	52043
69	8434	51810
70	8537	51584
71	8640	51363
72	8747	51168
73	8861	51012
74	8966	50812
75	9096	50749
76	9221	50657
77	9353	50602
78	9470	50468
79	9590	50348
80	9711	50236
81	9830	50111
82	9944	49961
83	10058	49812
84	10187	49740
85	10330	49730
86	10470	49704
87	10609	49671
88	10743	49611
89	10876	49548
90	11015	49508
91	11149	49445
92	11274	49340
93	11404	49257
94	11531	49158
95	11659	49066
96	11784	48959
97	11909	48851
98	12032	48739
99	12162	48648
100	12284	48530
101	12406	48408
102	12528	48289
103	12650	48167
104	12772	48050
105	12888	47906
106	13000	47748
107	13112	47594
108	13235	47478
109	13349	47330
110	13459	47168
111	13570	47010
112	13680	46854
113	13793	46704
114	13904	46551
115	14016	46399
116	14128	46250
117	14243	46109
118	14351	45949
119	14468	45817
120	14582	45676
121	14694	45528
122	14805	45379
123	14922	45247
124	15037	45113
125	15148	44965
126	15259	44817
127	15375	44683
128	15492	44556
129	15608	44425
130	15723	44290
131	15835	44148
132	15947	44005
133	16061	43868
134	16172	43725
135	16283	43581
136	16394	43440
137	16509	43306
138	16619	43164
139	16733	43028
140	16850	42901
141	16970	42783
142	17094	42675
143	17216	42561
144	17335	42442
145	17453	42319
146	17567	42186
147	17687	42067
148	17811	41957
149	17938	41857
150	18058	41738
151	18182	41628
152	18303	41511
153	18424	41395
154	18542	41270
155	18669	41167
156	18791	41054
157	18913	40938
158	19030	40813
159	19146	40686
160	19258	40549
161	19371	40417
162	19487	40289
163	19600	40156
164	19712	40022
165	19830	39900
166	19946	39774
167	20074	39670
168	20197	39557
169	20318	39441
170	20445	39335
171	20576	39238
172	20702	39132
